,SiteCode,Specie,X,N,AB,DA,DoA,sindr,ssindr,major_disp,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,blacklisted,blackwood,forest_size,effort_ha,dominio,lat_munici,altitude,PP,Temp,Lat,Longitud,ESTADIO,forest.type,ALT_RAST,TEMP_RAST,PP_RASTER,FOREST_RASTER,biomassproxi,Carbonproxi
4224,SPeec1,Sp14,4377,3,0.073601124,0.29296875,0.00718761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4225,SPeec1,Sp15,4378,652,43.50311371,63.671875,4.248350948,abiotic,anemochoric,,10,48,8.8,37.6,0.74488,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,41.42463549,11.93029502
4226,SPeec1,Sp16,4379,163,6.652553754,15.91796875,0.649663453,abiotic,anemochoric,,1.88,12.99,1.88,12,0.892708333,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,6.730692565,1.938439459
4227,SPeec1,Sp17,4380,352,9.437488231,34.375,0.92162971,abiotic,anemochoric,,30,32,12,22,0.85,30,yes,yes_wood,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,10.73758491,3.092424454
4228,SPeec1,Sp18,4381,8,0.144686883,0.78125,0.014129578,abiotic,anemochoric,,12,130,7.3,9.1,0.7135,7,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.039043547,0.011244541
4229,SPeec1,Sp19,4382,9,0.601870307,0.87890625,0.058776397,abiotic,0,NA,NA,NA,2.6,5.3,0.299,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.184440388,0.053118832
4230,SPeec1,Sp20,4383,26,1.579968044,2.5390625,0.154293754,zoochoric,birds,,25,28,9,10,0.56475,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,1.283995513,0.369790708
4231,SPeec1,Sp21,4384,8,0.039246972,0.78125,0.003832712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4232,SPeec1,Sp22,4385,7,0.057835872,0.68359375,0.005648034,zoochoric,mammals,NA,22.8,2.3,6,10,0.61,10,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.019517129,0.005620933
4233,SPeec1,Sp23,4386,101,1.77995005,9.86328125,0.173823247,zoochoric,mammals,NA,12.6,13.4,4.9,6,0.86,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,1.814133798,0.522470534
4234,SPeec1,Sp24,4387,20,2.000878597,1.953125,0.1953983,abiotic,anemochoric,,36.63,100.54,11.4,30,0.68034,45,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,2.859235844,0.823459923
4235,SPeec1,Sp25,4388,1,0.003183099,0.09765625,0.000310849,zoochoric,mixed,,5.8,8.6,6,4.4,0.68,10,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.001312772,0.000378078
4236,SPeec1,Sp26,4389,78,0.812413887,7.6171875,0.079337294,zoochoric,birds,,4,4,6.4,8.6,0.782,40,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,1.221028734,0.351656275
4237,SPeec1,Sp27,4390,51,0.482258019,4.98046875,0.04709551,zoochoric,birds,,4,5,1.3,22.8,0.745,6,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.112350334,0.032356896
